        Jakub Mendrek, itelligence Bulldogs Brno, 9, 4, 1, 5, 0, 
        Marek Fuchs, itelligence Bulldogs Brno, 8, 4, 1, 5, 0, 
        Martin Krkoška, Panthers Otrokovice, 8, 4, 1, 5, 0, 
        Michal Klápa, TJ JM Pedro Perez Chodov, 8, 4, 1, 5, 3, 
        Jakub Vrána, AC Sparta Praha Florbal, 9, 3, 2, 5, 0, 
        Marek Lipový, FBC ČPP Software Ostrava, 9, 3, 2, 5, 0, 
        Matěj Klucho, FBC Liberec, 9, 3, 2, 5, 0, 
        Petr Jeski, itelligence Bulldogs Brno, 9, 3, 2, 5, 2, 
        Filip Filipovič, FBC Kladno, 8, 3, 2, 5, 0, 
        Tomáš Kindl, FBC Kladno, 8, 3, 2, 5, 1, 
        Jan Šebesta, 1. SC WOOW Vítkovice, 7, 3, 2, 5, 2, 
        Jan Marvánek, AC Sparta Praha Florbal, 9, 2, 3, 5, 2, 
        Ondřej Kadoch, AC Sparta Praha Florbal, 9, 2, 3, 5, 1, 
        Miroslav Šnajdr, AC Sparta Praha Florbal, 9, 2, 3, 5, 0, 
        Lukáš Veselý, FBC Liberec, 9, 2, 3, 5, 2, 
        Jakub Kordoš, FbŠ Bohemians, 9, 2, 3, 5, 2, 
        Peter Grich, itelligence Bulldogs Brno, 9, 2, 3, 5, 0, 
        Václav Večeřa, Panthers Otrokovice, 9, 2, 3, 5, 2, 
        David Bouša, TJ JM Pedro Perez Chodov, 9, 2, 3, 5, 2, 
        Jan Valčík, Panthers Otrokovice, 7, 2, 3, 5, 3, 
        Radek Gwuźdź, BILLY BOY Mladá Boleslav, 6, 2, 3, 5, 0, 
        Marek Švajný, FBC ČPP Software Ostrava, 9, 1, 4, 5, 2, 
        Michal Nagy, Panthers Otrokovice, 9, 1, 4, 5, 0, 
        Karel Brychta, Sokol Pardubice, 9, 1, 4, 5, 1, 
        Adam Zbořil, Panthers Otrokovice, 7, 1, 4, 5, 1, 
        Adam Šťastný, Sokol Pardubice, 7, 1, 4, 5, 0, 
        Milan Garčar, Tatran Omlux Střešovice, 4, 1, 4, 5, 1, 
        Tomáš Sýkora, TJ JM Pedro Perez Chodov, 9, 0, 5, 5, 0, 
        David Matúš, 1. SC WOOW Vítkovice, 7, 0, 5, 5, 1, 
        Ondřej Kozák, FbŠ Bohemians, 9, 3, 1, 4, 0, 
        Michal Hradil, Panthers Otrokovice, 9, 3, 1, 4, 1, 
        Filip Bahník, Sokol Pardubice, 9, 3, 1, 4, 3, 
        Lukáš Hájek, 1. SC WOOW Vítkovice, 7, 3, 1, 4, 2, 
        Marek Ďopan, Sokol Pardubice, 7, 3, 1, 4, 1, 
