        Benjamin Reusser, Kloten-BÃ¼lach Jets, 0, 4, 1, 5, 1, 
        Manuel Sollberger, UHC GrÃ¼nenmatt, 0, 4, 1, 5, 0, 
        Sandro Aeschbacher, UHC GrÃ¼nenmatt, 0, 3, 2, 5, 0, 
        Lukas Thierstein, Chur Unihockey, 0, 3, 2, 5, 0, 
        Tim Bartenstein, UHC Uster, 0, 2, 3, 5, 1, 
        Kevin Berry, UHC Alligator Malans, 0, 2, 3, 5, 1, 
        Niklaus Gassmann, HC Rychenberg Wint..., 0, 2, 3, 5, 1, 
        Daniel Zeder, UHC Uster, 0, 2, 3, 5, 2, 
        Markus Studer, Chur Unihockey, 0, 4, 0, 4, 0, 
        Fabian Hess, Floorball KÃ¶niz, 0, 3, 1, 4, 1, 
        Mikael Lundin, HC Rychenberg Wint..., 0, 3, 1, 4, 3, 
        Luca Maffioletti, Grasshopper Club Z..., 0, 3, 1, 4, 1, 
        Thomas Mittelholzer, Waldkirch-St. Gallen, 0, 3, 1, 4, 0, 
        Martin Ostransky, UHC Alligator Malans, 0, 3, 1, 4, 1, 
        Kevin Steffen, SV Wiler-Ersigen, 0, 3, 1, 4, 1, 
        Timo Johansson, Grasshopper Club Z..., 0, 2, 2, 4, 1, 
        Kimmo Kontiainen, UHC Uster, 0, 2, 2, 4, 0, 
        Matti Vapaniemi, Kloten-BÃ¼lach Jets, 0, 2, 2, 4, 1, 
        Marc Huber, HC Rychenberg Wint..., 0, 0, 4, 4, 6, 
        Simon Garnier, SV Wiler-Ersigen, 0, 3, 0, 3, 1, 
        Manuel Hummer, UHC Alligator Malans, 0, 3, 0, 3, 0, 
        Thomas Kropf, Tigers Langnau, 0, 3, 0, 3, 0, 
        Raphael Berweger, Floorball KÃ¶niz, 0, 2, 1, 3, 0, 
        Remo Buchli, UHC Alligator Malans, 0, 2, 1, 3, 1, 
        Fabrice GÃ¶ldi, Waldkirch-St. Gallen, 0, 2, 1, 3, 0, 
        Nico GrÃ¶bli, Grasshopper Club Z..., 0, 2, 1, 3, 0, 
        Lulzim Kamaj, Chur Unihockey, 0, 2, 1, 3, 1, 
        Sami Saarinen, Grasshopper Club Z..., 0, 2, 1, 3, 0, 
        Thomas Schenk, UHC GrÃ¼nenmatt, 0, 2, 1, 3, 1, 
        Florian Tromm, UHC Alligator Malans, 0, 2, 1, 3, 0, 
        Patrick Vetsch, UHC Alligator Malans, 0, 2, 1, 3, 1, 
        Thomas Aellig, UHC Uster, 0, 1, 2, 3, 2, 
        Simon Bichsel, SV Wiler-Ersigen, 0, 1, 2, 3, 0, 
        Andreas BÃ¼rer, Chur Unihockey, 0, 1, 2, 3, 0, 
        Daniel DÃ¼rst, Kloten-BÃ¼lach Jets, 0, 1, 2, 3, 1, 
        Claudio Laely, UHC Alligator Malans, 0, 1, 2, 3, 0, 
        Markus Olavi Lajunen, UHC GrÃ¼nenmatt, 0, 1, 2, 3, 0, 
        Patrik Mosimann, Tigers Langnau, 0, 1, 2, 3, 1, 
        Patrick Schaufelberger, Olten Zofingen, 0, 1, 2, 3, 1, 
        Attila Schwarz, Kloten-BÃ¼lach Jets, 0, 1, 2, 3, 1, 
        Rafael Wolf, Olten Zofingen, 0, 1, 2, 3, 0, 
        Luzi Weber, Waldkirch-St. Gallen, 0, 0, 3, 3, 0, 
        Christian Beer, UHC GrÃ¼nenmatt, 0, 2, 0, 2, 0, 
        Ivan BrechbÃ¼hl, Tigers Langnau, 0, 2, 0, 2, 0, 
        Carlo Engel, Chur Unihockey, 0, 2, 0, 2, 2, 
